,id,title,published_title,price,headline,is_paid,instructor_name,instructor_job,category
0,992788,CompTIA CDIA+ 5th Edition 225-030,comptia-cdia-5th-edition-225-030,$89.99,Certified Document Imaging Architect,True,Stone River,"500,000+ Happy Students",IT & Software
1,1093110,Windows Server 2016 with PowerShell,windows-server-2016-with-powershell,$89.99,Mastering and Automating,True,Vitalii,LearnIT,IT & Software
2,1346624,Learn Installation of Splunk Components,splunk-admin-architect-module-03-installation-of-splunk,$49.99,Once you have completed all course modules you will be able to clear Splunk Power User and Splunk Admin certification. !,True,Arunkumar,Splunker : Looking For Challenging Opportunities in Splunk,IT & Software
3,1353898,ExpressJS from Beginner to Advanced,expressjs-from-beginner-to-advanced,$89.99,Learn ExpressJS by building a real-world application from scratch,True,Ermin,IT Expert,IT & Software
4,1387910,Cryptography is more fun with R!,keep-your-secrets-under-control,$89.99,Learn and use Public Key Cryptography with R Statistical Software,True,Vladimir,Senior Engineering Specialist and Instructor,IT & Software
5,1469298,All NoSQL (HBase + Cassandra + MongoDB + Redis) for Big Data,learn-complete-nosql-dbs-hbasecassandramongodbredis,$89.99,Learn Complete NoSQL Databases  (HBase + Cassandra + MongoDB + Redis) for Big Data Testing and Development,True,Big Data,Big Data Engineer,IT & Software
6,559288,SAP Security Training,sap-security-and-authorizations,$89.99,A Practical and Detail Learning Program on SAP Security & Authorizations,True,Dev,SAP Security Consultant,IT & Software
7,580876,Introduction to Computer Networks for Non-Techies,introduction-to-computer-networks,$89.99,Learn the Fundamentals of Computer Networking for Non-Techies,True,Alton,Educator. Author. Poker Coach. IT & Business Professional.,IT & Software
8,1412272,Wireshark:  A Comprehensive Guide to Network Analysis,wireshark-network-analysis,$89.99,Wireshark is the world's most popular and widely-used network protocol analyzer to deep inspect hundreds of protocols!,True,TELCOMA Global,Fanatical Services to the Telecom & IT Industry Since 2009,IT & Software
9,1464694,Linux Administration +Linux Command Line+Linux Server 3 in 1,linux-administration-commend-line-complete-guide,$89.99,"Learn Linux Administration , Linux Command Line, Linux Server admin, Red Hat Linux, CentOS - Get Linux Certification",True,Up,New Skills Everyday!,IT & Software
10,1437620,AWS Virtual Private Cloud (VPC) - Hands On Learning!,aws-virtual-private-cloud-vpc,$29.99,Learn how to build and manage your VPC on Amazon Web Services,True,Aftab,Software Architect / Software Developer,IT & Software
11,1454880,Vaadin 8 & Maven - The crash course,vaadin-8-maven-the-crash-course,$89.99,A step by step introduction to Vaadin 8 & Maven  with lots of examples and 2 projects,True,Kiril,Java software Engineer| Programming Instructor,IT & Software
12,1445098,The Inner workings of the Browser for JavaScript & Web devs,the-inner-workings-of-the-browser-for-javascript-web-devs,$89.99,"Learn about 4 parsers, JS compiler, ""modeling, DOM, BOM, ""document"",  ""window"" objects, async and sync functions",True,Raja,Developer Advocate at Salesforce,IT & Software
13,1456380,Certified ISTQB Test Analyst Advanced Level (CTAL-TA) - 2021,istqb-test-analyst-advanced,$89.99,An online course to get ready and practice questions for the ISTQB Advanced Level Test Analyst certification (CTAL-TA),True,Maged,IEEE Certified Instructor - PMP -  ISTQB CTAL -  PMI-ACP,IT & Software
14,1545910,Learn Odoo ERP for Absolute Beginners 2019,learn-odoo-erp-for-absolute-beginners-2018,$119.99,Odoo functional training course for absolute beginners. Learn how to setup Odoo ERP for your business and install apps.,True,Priyanka,Odoo Technical Consultant & AWS Expert,IT & Software
15,1507676,Get a Job of your Dreams in IT,find-the-right-it-job,$89.99,Your first stop for IT Job - Learn everything about Information Technology (IT) fields,True,Imran,One of the top Instructor with over 300k+ students worldwide,IT & Software
16,1504046,SAPSD-C_TSCM62_66 Mock Test Updated 2019 +30DAYS  SAP SERVER,sap-sd-tscm62_66-mock-test,$19.99,SAP ERP Order Fulfillment and Sales and Distribution Certification Exam - Mock Test,True,SAPXPERT,Profissionalizando Consultores SAP Globalmente desde de 2010,IT & Software
17,1508964,Advanced Scripting & Tool Making using Windows PowerShell,advanced-scripting-tool-making-using-windows-powershell,$34.99,"PowerShell | Simplified advanced training on PowerShell with real world problems, PowerShell Automation & PowerShell Lab",True,TechSckool,Dreamer of educated world,IT & Software
18,1433138,IP Address Subnetting and VLSM  from beginning to advance,ip-address-subnetting-and-vlsm-from-beginning-to-advance,$24.99,"IP Addressing , Subnetting and VLSM with Reverse IP Engineering for all IT Professional to Fresher",True,Ajay,"Corporate Technical Trainer , CCIE(R&s) , AWS Certified",IT & Software
19,1546126,How to Connect LabVIEW to Data Dashboard on iOS and Android,labview-smart-devices-connections,$89.99,Learn LabVIEW Programming & LabVIEW Software to Connect Android & ios. LabVIEW is Amazing Graphical Programming,True,Milad,Professional Programmer,IT & Software
20,1550502,ARM Assembly Language From Ground Up™ 1,arm-assembly-programming,$49.99,"Build over 50 Assembly Programs -  ARM Instruction Set, Peripheral Driver Development, Algorithms, DSP routines etc.",True,Israel,Embedded Firmware Engineer,IT & Software
